站点,lon,lat,所属线路,所属区划
莘庄,121.38073892818241,31.11305776462241,1号线,闵行区
外环路,121.38838017456648,31.122793792242927,1号线,闵行区
莲花路,121.39826723995373,31.132785552235642,1号线,闵行区
虹桥2号航站楼,121.32176415560677,31.196167580514413,2号线,闵行区
虹桥火车站,121.31443082752442,31.195992413003136,2号线,闵行区
闵行开发区,121.3651056069706,31.00261404324525,5号线(东川路-闵行开发区),闵行区
文井路,121.3761544849418,31.005568796429486,5号线(东川路-闵行开发区),闵行区
华宁路,121.39062410210494,31.009425239236823,5号线(东川路-闵行开发区),闵行区
金平路,121.40555532392588,31.013235248243948,5号线(东川路-闵行开发区),闵行区
东川路,121.41527640163895,31.020149671878173,5号线(东川路-闵行开发区),闵行区
春申路,121.38118468565895,31.10016251479348,5号线(莘庄-奉贤新城),闵行区
银都路,121.38562835835071,31.091259015155817,5号线(莘庄-奉贤新城),闵行区
颛桥,121.39723076471728,31.068934270014488,5号线(莘庄-奉贤新城),闵行区
北桥,121.40542034065227,31.04704548927466,5号线(莘庄-奉贤新城),闵行区
剑川路,121.41195383832373,31.028429155280513,5号线(莘庄-奉贤新城),闵行区
江川路,121.41885422354113,31.007390526251363,5号线(莘庄-奉贤新城),闵行区
沈杜公路,121.50789914448627,31.063558289113804,8号线,闵行区
联航路,121.50621415403057,31.07568632679645,8号线,闵行区
江月路,121.5042151370574,31.08636028893881,8号线,闵行区
浦江镇,121.50187472711843,31.09868334174772,8号线,闵行区
芦恒路,121.493412415543,31.121070556462307,8号线,闵行区
合川路,121.38013362257357,31.168418781184286,9号线,闵行区
星中路,121.36428420140531,31.160008670840373,9号线,闵行区
七宝,121.34463793924542,31.15722019474724,9号线,闵行区
中春路,121.33314221979371,31.15137270722262,9号线,闵行区
龙柏新村,121.36585725349977,31.17876984352325,10号线(新江湾城-航中路),闵行区
紫藤路,121.36021759643148,31.17157364781306,10号线(新江湾城-航中路),闵行区
航中路,121.35073990606709,31.16733418245789,10号线(新江湾城-航中路),闵行区
七莘路,121.35785785895321,31.13356127299324,12号线,闵行区
虹莘路,121.375716345027,31.139344384185165,12号线,闵行区
顾戴路,121.387215004763,31.142774743581143,12号线,闵行区
东兰路,121.38727267699913,31.157699834748826,12号线,闵行区
三鲁公路,121.5230684745372,31.05828634345557,浦江线,闵行区
闵瑞路,121.52601267159076,31.05014717064707,浦江线,闵行区
浦航路,121.52628210978969,31.0431889379908,浦江线,闵行区
东城一路,121.52778976467829,31.032596190362874,浦江线,闵行区
汇臻路,121.52023066870257,31.027433262333933,浦江线,闵行区
锦江乐园,121.40946706473196,31.14409724245705,1号线,徐汇区
上海南站,121.42541690326736,31.15646347785308,1号线,徐汇区
漕宝路,121.4285225454298,31.170224761844,1号线,徐汇区
上海体育馆,121.43280876083941,31.18469182063106,1号线,徐汇区
徐家汇,121.4322205975638,31.197209802801968,1号线,徐汇区
衡山路,121.44182648360236,31.20641000736895,1号线,徐汇区
常熟路,121.44454905303304,31.215406525974856,1号线,徐汇区
陕西南路,121.45417683831936,31.217051114458442,1号线,徐汇区
宜山路,121.42256310917372,31.18858228079912,3号线,徐汇区
漕溪路,121.43379813827451,31.178629242171997,3号线,徐汇区
龙漕路,121.43978396946423,31.171354060438823,3号线,徐汇区
石龙路,121.43860442656143,31.159849094500107,3号线,徐汇区
大木桥路,121.4587256558614,31.19597860411855,4号线,徐汇区
东安路,121.45032150870571,31.19272378231548,4号线,徐汇区
上海体育场,121.43892672427351,31.187491490498232,4号线,徐汇区
龙华中路,121.45248488789423,31.185755774694343,7号线,徐汇区
肇嘉浜路,121.445623863299,31.201327323344067,7号线,徐汇区
嘉善路,121.45614343140845,31.2047314007722,9号线,徐汇区
桂林路,121.41342417635315,31.17665589957622,9号线,徐汇区
漕河泾开发区,121.39312323898301,31.172510155159678,9号线,徐汇区
上海图书馆,121.43976059136128,31.209836868304762,10号线(新江湾城-虹桥火车站),徐汇区
上海游泳馆,121.43681787747795,31.181009446064788,11号线(嘉定北-迪士尼),徐汇区
龙华,121.44837904107729,31.174582002404836,11号线(嘉定北-迪士尼),徐汇区
云锦路,121.45395541000772,31.168412753940558,11号线(嘉定北-迪士尼),徐汇区
龙耀路,121.45514230218826,31.161650858020806,11号线(嘉定北-迪士尼),徐汇区
虹梅路,121.39260525538324,31.16222166986177,12号线,徐汇区
虹漕路,121.40590923851101,31.165900974838124,12号线,徐汇区
桂林公园,121.41501627301243,31.16885573277845,12号线,徐汇区
黄陂南路,121.46878231639437,31.224677698842,1号线,黄浦区
人民广场,121.47061844528193,31.234713873361677,1号线,黄浦区
新闸路,121.46360958861692,31.24028531515769,1号线,黄浦区
南京东路,121.48014123145792,31.240057682989477,2号线,黄浦区
南浦大桥,121.4952946251747,31.2105190529215,4号线,黄浦区
西藏南路,121.48508866210176,31.203954968787365,4号线,黄浦区
鲁班路,121.47063236163885,31.20116984547308,4号线,黄浦区
陆家浜路,121.48163568062029,31.21376223928377,8号线,黄浦区
老西门,121.4793049594492,31.220977161884818,8号线,黄浦区
大世界,121.47482193017677,31.229128823858666,8号线,黄浦区
小南门,121.49396211991319,31.218873065732502,9号线,黄浦区
马当路,121.47274647530105,31.211469518032498,9号线,黄浦区
打浦桥,121.4641439972319,31.208237687986365,9号线,黄浦区
豫园,121.48299708898205,31.22977060592607,10号线(新江湾城-虹桥火车站),黄浦区
新天地,121.47066500264978,31.218307668201128,10号线(新江湾城-虹桥火车站),黄浦区
淮海中路,121.45996306452531,31.22219185993532,13号线,黄浦区
世博会博物馆,121.47709819485895,31.19953928260718,13号线,黄浦区
汉中路,121.4541294040466,31.24377161385409,1号线,闸北区
上海火车站,121.45336662901308,31.251515490320106,1号线,闸北区
中山北路,121.45463434484444,31.260773178057235,1号线,闸北区
延长路,121.45074765918908,31.273543414038862,1号线,闸北区
上海马戏城,121.44743238898876,31.281753336121763,1号线,闸北区
汶水路,121.4456548895092,31.29440578475207,1号线,闸北区
彭浦新村,121.444040789195,31.30844528253833,1号线,闸北区
共康路,121.44245701887444,31.32076978563052,1号线,闸北区
宝山路,121.47178167751035,31.253450521412528,3号线,闸北区
曲阜路,121.46701194819452,31.244226113009947,8号线,闸北区
中兴路,121.4644860370228,31.255135843373264,8号线,闸北区
西藏北路,121.46422734787373,31.26540772024663,8号线,闸北区
天潼路,121.47797826702994,31.24577697815547,10号线(新江湾城-虹桥火车站),闸北区
通河新村,121.43692692099344,31.33295026067643,1号线,宝山区
呼兰路,121.43308365072414,31.34151466887024,1号线,宝山区
共富新村,121.42942782007371,31.35688373529689,1号线,宝山区
宝安公路,121.42627249190888,31.371348472802683,1号线,宝山区
友谊西路,121.42330616726221,31.383082889984717,1号线,宝山区
富锦路,121.42000896512384,31.394040823636235,1号线,宝山区
江杨北路,121.43518974837995,31.409651584929147,3号线,宝山区
铁力路,121.45656190878786,31.40995357959463,3号线,宝山区
友谊路,121.47139329895151,31.40588745835331,3号线,宝山区
宝杨路,121.47505631652956,31.39719881688952,3号线,宝山区
水产路,121.4837606763241,31.38321453778153,3号线,宝山区
淞浜路,121.48834886989746,31.372857140730986,3号线,宝山区
张华浜,121.49422407960422,31.35996675118825,3号线,宝山区
淞发路,121.49595040076404,31.347095244464487,3号线,宝山区
长江南路,121.48701141331932,31.334000235621748,3号线,宝山区
殷高西路,121.48036300888413,31.321928378529574,3号线,宝山区
大华三路,121.41830531931757,31.27586855455468,7号线,宝山区
