地铁线,区,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度,,,,
1,闵行区,1,莘庄,31.11121476,121.3855616,1,1,31.11121476,121.3855616,31.1209034,121.3930209,31.11605908,121.3892913,0.00484432,0.00372965
1,闵行区,2,外环路,31.1209034,121.3930209,2,2,31.1209034,121.3930209,31.13083023,121.4027978,31.12586682,121.3979094,0.004963415,0.00488845
1,闵行区,3,莲花路,31.13083023,121.4027978,3,3,31.13083023,121.4027978,31.141967,121.4141598,31.13639862,121.4084788,0.005568385,0.005681
1,徐汇区,4,锦江乐园,31.141967,121.4141598,4,4,31.141967,121.4141598,31.15408368,121.4303053,31.14802534,121.4222326,0.00605834,0.00807275
1,徐汇区,5,上海南站,31.15408368,121.4303053,5,5,31.15408368,121.4303053,31.16849521,121.4340741,31.16128945,121.4321897,0.007205765,0.0018844
1,徐汇区,6,漕宝路,31.16849521,121.4340741,6,6,31.16849521,121.4340741,31.18246769,121.4369962,31.17548145,121.4355352,0.00698624,0.00146105
1,徐汇区,7,上海体育馆,31.18246769,121.4369962,7,7,31.18246769,121.4369962,31.19432018,121.4368161,31.18839394,121.4369062,0.005926245,-9.005E-05
1,徐汇区,8,徐家汇,31.19432018,121.4368161,8,8,31.19432018,121.4368161,31.2049887,121.44675,31.19965444,121.4417831,0.00533426,0.00496695
1,徐汇区,9,衡山路,31.2049887,121.44675,9,9,31.2049887,121.44675,31.21360199,121.4502166,31.20929535,121.4484833,0.004306645,0.0017333
1,徐汇区,10,常熟路,31.21360199,121.4502166,10,10,31.21360199,121.4502166,31.21596312,121.4591278,31.21478256,121.4546722,0.001180565,0.0044556
1,徐汇区,11,陕西南路,31.21596312,121.4591278,11,11,31.21596312,121.4591278,31.22282144,121.4732104,31.21939228,121.4661691,0.00342916,0.0070413
1,黄浦区,12,黄陂南路,31.22282144,121.4732104,12,12,31.22282144,121.4732104,31.23277805,121.4745619,31.22779975,121.4738862,0.004978305,0.00067575
1,黄浦区,13,人民广场,31.23277805,121.4745619,13,13,31.23277805,121.4745619,31.23859873,121.4683146,31.23568839,121.4714383,0.00291034,-0.00312365
1,黄浦区,14,新闸路,31.23859873,121.4683146,14,14,31.23859873,121.4683146,31.24113482,121.4587262,31.23986678,121.4635204,0.001268045,-0.0047942
1,静安区,15,汉中路,31.24113482,121.4587262,15,15,31.24113482,121.4587262,31.24889197,121.4575254,31.2450134,121.4581258,0.003878575,-0.0006004
1,静安区,16,上海火车站,31.24889197,121.4575254,16,16,31.24889197,121.4575254,31.2588637,121.4591845,31.25387784,121.458355,0.004985865,0.00082955
1,静安区,17,中山北路,31.2588637,121.4591845,17,17,31.2588637,121.4591845,31.27180669,121.4554775,31.2653352,121.457331,0.006471495,-0.0018535
1,静安区,18,延长路,31.27180669,121.4554775,18,18,31.27180669,121.4554775,31.27959233,121.4520909,31.27569951,121.4537842,0.00389282,-0.0016933
1,静安区,19,上海马戏城,31.27959233,121.4520909,19,19,31.27959233,121.4520909,31.29272163,121.4501265,31.28615698,121.4511087,0.00656465,-0.0009822
1,静安区,20,汶水路,31.29272163,121.4501265,20,20,31.29272163,121.4501265,31.30668998,121.4486753,31.29970581,121.4494009,0.006984175,-0.0007256
1,静安区,21,彭浦新村,31.30668998,121.4486753,21,21,31.30668998,121.4486753,31.31899751,121.447047,31.31284375,121.4478612,0.006153765,-0.00081415
1,静安区,22,共康路,31.31899751,121.447047,22,22,31.31899751,121.447047,31.33109876,121.4415419,31.32504814,121.4442945,0.006050625,-0.00275255
1,宝山区,23,通河新村,31.33109876,121.4415419,23,23,31.33109876,121.4415419,31.33975276,121.4377264,31.33542576,121.4396342,0.004327,-0.00190775
1,宝山区,24,呼兰路,31.33975276,121.4377264,24,24,31.33975276,121.4377264,31.35505844,121.434097,31.3474056,121.4359117,0.00765284,-0.0018147
1,宝山区,25,共富新村,31.35505844,121.434097,25,25,31.35505844,121.434097,31.36945523,121.4310483,31.36225684,121.4325727,0.007198395,-0.00152435
